image,id,Color,Palette,DoF,Composition,Type,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/1/c22de518-photo-1589485088903-f1cb8f0a5ca6.jpg,600,Colorful,"{""choices"": [""Brown"", ""Gray"", ""Green""]}",Deep (more in focus),"{""choices"": [""Leading Lines"", ""Rule of Thirds""]}",Landscape,1,801,2022-01-15T23:43:37.786686Z,2022-01-15T23:43:48.179949Z,39136.571
/data/upload/1/a62ddf12-photo-1597742920266-b786f7fe95e2.jpg,709,Colorful,White,Deep (more in focus),Undefined,Architectural,1,743,2022-01-15T18:05:37.131250Z,2022-01-15T18:05:52.578914Z,18861.058
/data/upload/1/0fe75121-photo-1613318805716-cf20bbc8bfc7.jpg,835,Colorful,Black,Shallow (less in focus),Centered,"{""choices"": [""Landscape"", ""Night""]}",1,641,2022-01-14T23:12:57.666194Z,2022-01-14T23:19:38.287735Z,275222.423
/data/upload/1/55c0d273-photo-1587030303706-586fd0a4f947.jpg,568,Colorful,"{""choices"": [""Gray"", ""Yellow""]}",Shallow (less in focus),Centered,Wildlife,1,476,2022-01-12T13:47:32.811587Z,2022-01-12T13:47:49.529210Z,68114.08
/data/upload/1/f332e1f9-photo-1598202125860-a20f21cc7f47.jpg,720,Colorful,Other,Shallow (less in focus),Centered,Architectural,1,470,2022-01-12T13:42:13.340255Z,2022-01-12T13:42:28.631080Z,67793.156
/data/upload/1/03930357-photo-1590176531485-4c5a4238668f.jpg,619,Colorful,Blue,Shallow (less in focus),Undefined,"{""choices"": [""Cityscape"", ""Night""]}",1,402,2022-01-10T14:35:10.086544Z,2022-01-10T14:36:49.962823Z,38.471
/data/upload/1/ff77ab45-photo-1580599742811-0c77eae8e64c.jpg,500,Colorful,Brown,Deep (more in focus),Undefined,Flora,1,370,2022-01-10T11:15:29.940959Z,2022-01-10T11:17:21.155297Z,8667.008
/data/upload/1/cc656393-photo-1518906221771-16495e96968f.jpg,296,Colorful,"{""choices"": [""Black"", ""White"", ""Yellow""]}",Deep (more in focus),Centered,"{""choices"": [""Night"", ""Street""]}",1,331,2022-01-03T10:54:25.893870Z,2022-01-03T10:56:05.209712Z,1420.679
/data/upload/1/9a4c57a6-photo-1575602226988-ed7b46009274.jpg,472,Colorful,Pink,Deep (more in focus),Centered,"{""choices"": [""Fashion"", ""Portrait""]}",1,277,2022-01-02T14:40:29.604471Z,2022-01-03T10:32:53.940998Z,29.378
/data/upload/1/045bf795-photo-1603533084057-86bdbd8c175c.jpg,748,Colorful,Green,Deep (more in focus),Undefined,Flora,1,283,2022-01-02T14:45:43.450065Z,2022-01-02T14:46:54.367088Z,32.705
/data/upload/1/43974466-photo-1626579322701-22d345185d2e.jpg,1000,Colorful,"{""choices"": [""Blue"", ""White""]}",Deep (more in focus),Undefined,Architectural,1,429,2022-01-10T21:32:22.750105Z,2022-01-10T21:32:22.750167Z,260.672
/data/upload/1/2ab525a9-photo-1626562094543-a406ac3df961.jpg,999,Colorful,"{""choices"": [""Gray"", ""Yellow""]}",Shallow (less in focus),Rule of Thirds,Street,1,461,2022-01-11T18:51:40.385571Z,2022-01-11T18:51:40.385604Z,45.062
/data/upload/1/af1eb837-photo-1626476139484-3d19b63360f8.jpg,998,Colorful,"{""choices"": [""Gray"", ""Orange"", ""Red""]}",Shallow (less in focus),Rule of Thirds,Landscape,1,365,2022-01-10T10:30:12.780395Z,2022-01-10T10:30:12.780415Z,212.208
/data/upload/1/1d9fb4cd-photo-1626465894846-47f427e40844.jpg,997,Colorful,"{""choices"": [""Blue"", ""White""]}",Deep (more in focus),Undefined,Landscape,1,884,2022-01-16T15:34:58.387368Z,2022-01-16T15:34:58.387433Z,111.196
/data/upload/1/216c470d-photo-1626373039947-a2b7012d6cd6.jpg,996,Colorful,"{""choices"": [""Brown"", ""Gray"", ""Green""]}",Deep (more in focus),Filling the Frame,Flora,1,834,2022-01-16T12:03:57.190122Z,2022-01-16T12:03:57.190147Z,72.244
/data/upload/1/dd33435b-photo-1626337200622-6f50aea49b6e.jpg,995,Colorful,"{""choices"": [""Gray"", ""Orange"", ""White""]}",Deep (more in focus),Undefined,Street,1,915,2022-01-16T16:32:23.763541Z,2022-01-16T16:32:23.763564Z,188.317
/data/upload/1/3798f205-photo-1626328444676-d24d00c32825.jpg,994,Colorful,"{""choices"": [""Green"", ""Violet"", ""White""]}",Deep (more in focus),Filling the Frame,Flora,1,668,2022-01-15T13:49:07.007212Z,2022-01-15T13:49:07.007236Z,24.806
/data/upload/1/190c6298-photo-1626328029347-4ef1c1a087e3.jpg,993,Colorful,"{""choices"": [""Black"", ""Brown"", ""White""]}",Shallow (less in focus),Centered,"{""choices"": [""Cityscape"", ""Portrait""]}",1,699,2022-01-15T17:03:34.273476Z,2022-01-15T17:03:34.273499Z,33.148
/data/upload/1/7ad33e88-photo-1626231432210-339a665e09ef.jpg,992,Colorful,Black,Deep (more in focus),Centered,Night,1,873,2022-01-16T15:16:04.577035Z,2022-01-16T15:16:04.577059Z,45.424
/data/upload/1/59bc20ee-photo-1626229689548-6bb840e6103d.jpg,991,Colorful,"{""choices"": [""Green"", ""Pink""]}",Shallow (less in focus),Centered,Flora,1,1006,2022-01-16T17:44:41.653280Z,2022-01-16T17:44:41.653305Z,18.498
/data/upload/1/53f9dedb-photo-1626182596329-0394da967197.jpg,990,Colorful,"{""choices"": [""Black"", ""White""]}",Deep (more in focus),Rule of Thirds,"{""choices"": [""Night"", ""Sports""]}",1,789,2022-01-15T23:23:37.882309Z,2022-01-15T23:23:37.882373Z,37.521
/data/upload/1/f2a870e3-photo-1626172053151-31f87835d29e.jpg,989,Colorful,"{""choices"": [""Blue"", ""Brown"", ""Green""]}",Deep (more in focus),Rule of Thirds,Landscape,1,921,2022-01-16T16:37:39.606530Z,2022-01-16T16:37:39.606588Z,86.131
/data/upload/1/30788bf6-photo-1626112232922-1b488249e9bd.jpg,988,Black and White,"{""choices"": [""Black"", ""Gray"", ""White""]}",Deep (more in focus),Centered,Pet,1,1000,2022-01-16T17:39:51.563077Z,2022-01-16T17:39:51.563099Z,108.181
